Rules,Participant #1,Comments,Participant #2,Comment,Diff,Decision,In our dataset,In cited dataset,Already in Sorald,In the paper,Participant #3,Rule Number,New cnt in our dataset,Cnt in Marcilio including similar rules
Math should not be performed on floats,Yes,,Yes,,,,2346,-1,X,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2164,2346,-1
Floating point numbers should not be tested for equality,No,,No,The proper error is unkown,,,2232,339,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-1244,2232,339
"""equals"" methods should be symmetric and work for subclasses",Yes,,Yes,,,,880,1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2162,880,1
Resources should be closed,Yes,,Yes,,,,-1,356,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2095,785,356
Null pointers should not be dereferenced,Partially,Not sure it's a good idea,Partially,Too hard,,,-1,612,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2259,693,612
"""InterruptedException"" should not be ignored",Yes,,Yes,,,,555,294,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2142,555,294
Math operands should be cast before assignment,Yes,,Yes,,,,399,325,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2184,399,325
"JEE applications should not ""getClassLoader""",Yes,,Yes,,,,292,-1,X,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3032,292,-1
Zero should not be a possible denominator,Maybe,But not sure it's a good idea. I feel it's like NPE fixes.,No,,DIFF,No,-1,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3518,241,-1
"Non-primitive fields should not be ""volatile""",Maybe,,Yes,,DIFF,Partially,237,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3077,237,-1
Conditionally executed code should be reachable,No,,No,Developer's intention unclear,,,-1,569,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2583,175,569
Double Brace Initialization should not be used,Yes,,Partially,,DIFF,Partially?,146,-1,,,Yes,https://rules.sonarsource.com/java/type/Bug/RSPEC-3599,146,-1
"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs",Maybe,,No,,DIFF,Participant #1 will check,131,140,,,No,https://rules.sonarsource.com/java/type/Bug/RSPEC-1206,131,140
"""BigDecimal(double)"" should not be used",Yes,,Yes,,,,102,24,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2111,102,24
"Strings and Boxed types should be compared using ""equals()""",Yes,,Yes,,,,92,-1,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-4973,92,398
"""ThreadLocal"" variables should be cleaned up when no longer used",Partially,,Partially,,,,81,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-5164,81,-1
Boxing and unboxing should not be immediately reversed,Yes,There will be several cases,Yes,,,,62,47,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2153,62,47
All branches in a conditional structure should not have exactly the same implementation,Partially,But seems very dangerous since we cannot be 100% sure the developers intention,No,,DIFF,No,56,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3923,56,1
Identical expressions should not be used on both sides of a binary operator,No,We cannot know what to replace that by.,No,,,,54,35,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-1764,54,35
"""Random"" objects should be reused",Yes,,Yes,,,,52,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2119,52,-1
Loops should not be infinite,No,,No,,,,-1,15,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2189,49,15
Raw byte values should not be used in bitwise operations in combination with shifts,Yes,,Yes,,,,47,24,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3034,47,24
The value returned from a stream read should be checked,Yes,,No,,DIFF,No,47,19,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2674,47,19
"""Iterator.next()"" methods should throw ""NoSuchElementException""",Yes,,Yes,,,,42,54,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2272,42,54
Method parameters caught exceptions and foreach variables' initial values should not be ignored,No,Those cases we can't even think in a template,No,,,,31,2915,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-1226,31,2915
Non-thread-safe fields should not be static,Yes,But this is one of the dangerous cases since it would require changing the API.,Partially,,DIFF,Partially,31,7,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2885,31,7
"Inappropriate ""Collection"" calls should not be made",Maybe,I don't really know,No,,DIFF,No,30,5,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2175,30,5
"""Serializable"" inner classes of non-serializable classes should be ""static""",Yes,It can be dangerous though,No,,DIFF,Yes,28,1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2066,28,1
"Jump statements should not occur in ""finally"" blocks",Yes,,Yes,,,,26,75,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-1143,26,75
Getters and setters should be synchronized in pairs,Yes,,Yes,,,,26,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2886,26,-1
Ints and longs should not be shifted by zero or more than their number of bits-1,No,,No,Intention unclear,,,25,24,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2183,25,24
"""toString()"" and ""clone()"" methods should not return null",Partially,,Partially,,,,22,6,X,X,,https://rules.sonarsource.com/java/type/Bug/RSPEC-2225,22,6
Overrides should match their parent class methods in synchronization,Yes,,Yes,,,,22,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3551,22,-1
Loops with at most one iteration should be refactored,No,,No,Intention unclear,,,20,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-1751,20,-1
Optional value should only be accessed after calling isPresent(),Yes,,Yes,,,,-1,-1,,,,https://rules.sonarsource.com/java/type/Bug/RSPEC-3655,18,-1
