URL,#FIXED,PR_SUBMISSION_STATUS,PR_URL
https://github.com/khesoem/jts/tree/repairnator-patch-15698d9cec_2184,1,done,https://github.com/locationtech/jts/pull/811
https://github.com/khesoem/commafeed/tree/repairnator-patch-000a99c53e_2142,2,notsubmitted,
https://github.com/khesoem/Prism-Bukkit/tree/repairnator-patch-2180f538fa_2095,1,donebefore,
https://github.com/khesoem/Prism-Bukkit/tree/repairnator-patch-c457fb13f1_2184,1,notsubmitted,
https://github.com/khesoem/Prism-Bukkit/tree/repairnator-patch-c457fb13f1_2095,1,donebefore,
https://github.com/khesoem/Prism-Bukkit/tree/repairnator-patch-8ee3300cc5_2095,1,donebefore,
https://github.com/khesoem/Prism-Bukkit/tree/repairnator-patch-dc2c750cd7_2095,1,donebefore,
https://github.com/khesoem/goodsKill/tree/repairnator-patch-bbf9e60a21_2184,1,donebefore,
https://github.com/khesoem/goodsKill/tree/repairnator-patch-8735a767a4_2184,1,donebefore,
https://github.com/khesoem/goodsKill/tree/repairnator-patch-39e5fabff5_2184,1,donebefore,
https://github.com/khesoem/goodsKill/tree/repairnator-patch-b6b0621c3a_2184,1,donebefore,
https://github.com/khesoem/goodsKill/tree/repairnator-patch-b6b0621c3a_2142,1,donebefore,
https://github.com/khesoem/MyPerf4J/tree/repairnator-patch-4fe8812466_2142,1,donebefore,
https://github.com/khesoem/MyPerf4J/tree/repairnator-patch-4fe8812466_2184,1,donebefore,
https://github.com/khesoem/singer/tree/repairnator-patch-1981d2406d_2142,1,done,https://github.com/pinterest/singer/pull/148
https://github.com/khesoem/singer/tree/repairnator-patch-f07581a779_2142,1,repetitive,
https://github.com/khesoem/Scientist4J/tree/repairnator-patch-8d16ffc684_2142,2,done,https://github.com/rawls238/Scientist4J/pull/42
https://github.com/khesoem/Scientist4J/tree/repairnator-patch-d49b876e87_2142,2,donecombined,
https://github.com/khesoem/arthas/tree/repairnator-patch-285b73d624_2184,1,tooold,
https://github.com/khesoem/arthas/tree/repairnator-patch-285b73d624_2095,1,done,https://github.com/alibaba/arthas/pull/2037
https://github.com/khesoem/vertx-jdbc-client/tree/repairnator-patch-00c39d7f86_2142,1,done,https://github.com/vert-x3/vertx-jdbc-client/pull/258
https://github.com/khesoem/vertx-jdbc-client/tree/repairnator-patch-e034ad4635_2142,1,repetitive,
https://github.com/khesoem/sqlite-jdbc/tree/repairnator-patch-bf5e840246_2095,1,tooold,
https://github.com/khesoem/sqlite-jdbc/tree/repairnator-patch-bf5e840246_2184,2,done(1 old),https://github.com/xerial/sqlite-jdbc/pull/696
https://github.com/khesoem/Nukkit/tree/repairnator-patch-12b389a263_2184,1,donebefore,
https://github.com/khesoem/julie/tree/repairnator-patch-bc415365a7_2142,3,notsubmitted,
https://github.com/khesoem/json-schema-validator/tree/repairnator-patch-a03b92caf5_2142,1,done,https://github.com/networknt/json-schema-validator/pull/488
https://github.com/khesoem/json-schema-validator/tree/repairnator-patch-308e258fd6_2142,1,donecombined,
https://github.com/khesoem/json-schema-validator/tree/repairnator-patch-36095ffc45_2142,1,donecombined,
https://github.com/khesoem/json-schema-validator/tree/repairnator-patch-415980e5e2_2142,1,donecombined,
https://github.com/khesoem/failsafe/tree/repairnator-patch-7b34259a81_2142,4,done,https://github.com/failsafe-lib/failsafe/pull/314
https://github.com/khesoem/failsafe/tree/repairnator-patch-90825468b9_2142,4,repetitive,
https://github.com/khesoem/failsafe/tree/repairnator-patch-1dad021f74_2142,3,tooold,
https://github.com/khesoem/failsafe/tree/repairnator-patch-533be585bd_2095,1,done,https://github.com/failsafe-lib/failsafe/pull/315
https://github.com/khesoem/julie/tree/repairnator-patch-73c18eacdc_2142,4,donebefore,
https://github.com/khesoem/julie/tree/repairnator-patch-0e438b6b45_2142,5,donebefore,
https://github.com/khesoem/julie/tree/repairnator-patch-0e438b6b45_2095,2,donebefore,
https://github.com/khesoem/nfe/tree/repairnator-patch-443bc889ea_2111,1,done,https://github.com/wmixvideo/nfe/pull/776
https://github.com/khesoem/jMetal/tree/repairnator-patch-8c4fed6d1f_2142,1,done,https://github.com/jMetal/jMetal/pull/442
https://github.com/khesoem/jMetal/tree/repairnator-patch-a6617bc794_2142,1,repetitive,
https://github.com/khesoem/jMetal/tree/repairnator-patch-79cd2fa16d_2184,1,done,https://github.com/jMetal/jMetal/pull/443
https://github.com/khesoem/fast-object-pool/tree/repairnator-patch-97c894a868_2142,1,donebefore,
https://github.com/khesoem/fast-object-pool/tree/repairnator-patch-62baf75400_2142,1,notsubmitted,
https://github.com/khesoem/fast-object-pool/tree/repairnator-patch-2093a87322_2184,1,notsubmitted,
https://github.com/khesoem/tetrad/tree/repairnator-patch-960241c044_2184,1,done,https://github.com/cmu-phil/tetrad/pull/1355
https://github.com/khesoem/tetrad/tree/repairnator-patch-06a86f3465_2184,1,repetitive,
https://github.com/khesoem/MsgViewer/tree/repairnator-patch-754663873a_2095,1,done,https://github.com/lolo101/MsgViewer/pull/65
https://github.com/khesoem/MsgViewer/tree/repairnator-patch-291a953ea3_2184,4,done,https://github.com/lolo101/MsgViewer/pull/66
https://github.com/khesoem/retrofit-spring-boot-starter/tree/repairnator-patch-ef32e8d77f_2095,1,done,https://github.com/LianjiaTech/retrofit-spring-boot-starter/pull/84
https://github.com/khesoem/retrofit-spring-boot-starter/tree/repairnator-patch-b9a640f0e0_2142,1,done,https://github.com/LianjiaTech/retrofit-spring-boot-starter/pull/85
https://github.com/khesoem/carml/tree/repairnator-patch-ad62e2ccaa_2142,1,done,https://github.com/carml/carml/pull/110
https://github.com/khesoem/carml/tree/repairnator-patch-ad62e2ccaa_2095,1,tooold,
https://github.com/khesoem/carml/tree/repairnator-patch-543ef152da_2095,1,tooold,
https://github.com/khesoem/carml/tree/repairnator-patch-543ef152da_2142,2,tooold,
