rule,count
squid:S1161,12879
squid:S1213,10592
squid:CommentedOutCodeLine,8791
squid:S134,7911
squid:S00115,7706
squid:S00116,7283
squid:MethodCyclomaticComplexity,6137
squid:S1166,5663
squid:CycleBetweenPackages,4881
squid:S00121,4490
squid:ModifiersOrderCheck,4278
squid:S106,3892
squid:S00122,3726
squid:S2293,3470
squid:S00112,3457
common-java:DuplicatedBlocks,3342
squid:S00117,3290
squid:RedundantThrowsDeclarationCheck,3123
squid:S1135,3100
squid:S1854,3018
squid:UselessParenthesesCheck,2966
squid:S1226,2915
checkstyle:com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck,2868
squid:S1192,2779
squid:S1186,2666
squid:S1199,2666
common-java:InsufficientBranchCoverage,2641
checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck,2340
squid:S1132,2267
squid:ClassVariableVisibilityCheck,2150
squid:S00119,1948
checkstyle:com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck,1905
pmd:UnusedModifier,1838
squid:S1151,1804
squid:S1172,1726
squid:S00100,1574
squid:S1133,1411
squid:S1118,1312
checkstyle:com.puppycrawl.tools.checkstyle.checks.modifier.ModifierOrderCheck,1058
squid:S1149,1053
squid:S1659,966
squid:S1160,938
squid:S00120,896
squid:S1067,878
squid:UselessImportCheck,876
squid:S1948,859
squid:S1066,839
squid:S1155,815
squid:MaximumInheritanceDepth,805
squid:S1148,800
squid:S1452,795
squid:S1197,790
squid:S00108,747
squid:S135,742
squid:S1181,728
checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.StaticVariableNameCheck,716
squid:S1609,640
squid:S1188,626
squid:S1168,623
squid:HiddenFieldCheck,616
squid:S2259,612
squid:S3008,608
pmd:SignatureDeclareThrowsException,604
squid:UnusedPrivateMethod,595
squid:S1604,594
squid:LabelsShouldNotBeUsedCheck,587
squid:S2583,569
squid:S3346,569
squid:S1488,552
squid:S2387,541
squid:S1481,536
squid:S1068,536
squid:MissingDeprecatedCheck,535
squid:S1141,507
pmd:ArrayIsStoredDirectly,476
squid:S2386,460
checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.ParameterNameCheck,449
pmd:CollapsibleIfStatements,449
squid:S2925,446
